"","ID","loop_concept","def","cit","actor","viewpoint","topic","outlet","other"
"42","002587@2015.nl","div","Most of the existing media policy toolkits have presumed a causal link between source diversity— that is, the availability of multiple and diverse content providers and diversity of content, leading to the common assumption that diversity of content naturally leads to exposure diversity—“[a]s audiences have a greater array of sources and content options to choose from, they presumably take advantage of this greater selection and expand their horizons” (Napoli, 2011, p. 248). In contrast to source and content diversity, however, exposure diversity has never been explicitly defined as a media policy objective in the United States (Napoli, 2011), Europe (Valcke, 2011), or internationally (Burri, 2010).

 In terms of goal definition, it should be clear that we do not single out exposure diversity to the detriment of either source or content diversity, as there is broad agreement that these two endure as key media policy objectives, although, perhaps, with somewhat diminished demand for action because of conditions of the digital environment (Napoli, 2011, 2012; Valcke, 2011).","Napoli, 2011; Valcke, 2011; Burri, 2010; Napoli, 2011, 2012; Valcke, 2011","","","","","Content diversity"
"43","002642@2015.nl","div","The liberal model emphasises internal plur- alism, that is the ‘diversity of media contents, services and sources reflecting and generating a broad variety of opinions, views, representations and values of social, ethical, political and cultural nature’ (Klimkiewicz, 2009: 47).

An alternative model of democracy is the egalitarian-welfarist model. Such model considers information as a public good and freedom of information as a substantial democratic right. Therefore, diversity means organised pluralism, with a ‘segmented structure of media outlets and providers representing different social groups, cultural communities and political orientations’ (Klimkiewicz, 2009: 47).

Hence, this model emphasises a conception of diversity as external pluralism, which is a ‘plurality of independent and autonomous media outlets and providers, mul- tiple centres of ownership, production, performance and distribution control’ (Klimkiewicz, 2009: 47).","Klimkiewicz, 2009","","diversity of views","","concentration of media ownership",""
"44","002784@2015.nl","div","Diversification – The news agenda should be presented with as many viewpoints as possible. Viewpoints can be news categories (classes) or topics.

News articles in front pages can be diversified using their category or topic tags.

There are algorithms for selecting a diversified set of documents among a given collection, based on measures such as maximal marginal relevance [13]. The application of such algorithms is examined in Clarke et al. [14]. Selection based on diversity is also studied in the context of publish/subscribe systems [15]. In such systems, documents are obtained in a given period of time and then a subset of them is selected by applying greedy search, to find the most diverse item. Recommendation systems that consider diversification [16] find documents of a similar interest to the user profile/query, while presenting diverse results from various topics.
In this study, we do not apply such approaches directly, since our algorithm handles different factors altogether, namely, importance, diversity and the length of the front page. For diversification, we utilize topic modelling that aims at finding latent groups/topics in a text collection. To the best of our knowledge, there is no study adapting topic model- ling for public front-page news selection.","Carbonell J and Goldstein J. The use of MMR, diversity-based reranking for reordering documents and producing summaries. In: Proceedings of the 21st annual ınternational ACM SIGIR conference on research and development in ınformation retrieval, Melbourne. New York: ACM, 1998, pp. 335–336.

Clarke CLA, Kolla M, Cormack GV et al. Novelty and diversity in information retrieval evaluation. In: Proceedings of the 31st annual ınternational ACM SIGIR conference on research and development in ınformation retrieval, Singapore. New York: ACM, 2008, pp. 659–666.

Drosou M and Pitoura E. Diversity over continuous data. IEEE Data(base) Engineering Bulletin – DEBU 2009; 32: 49–56.

Ziegler C-N, McNee SM, Konstan JA and Lausen G. Improving recommendation lists through topic diversification. In:
Proceedings of the 14th ınternational conference on World Wide Web, Chiba, Japan. New York: ACM, 2005, pp. 22–32.",NA,NA,"category or topic tags",NA,NA
"45","002817@2014.nl","div"," According to all normative models of a “free press”, a certain level of diversity of sources is desirable – a broad range of viewpoints is necessary for the pursuit of truth and good governance (Siebert, Peterson, and Schramm 1956; McQuail 1983). From the point of view of representative democracy, it is crucial that the news provide multiple viewpoints in order to reflect the diversity of opinions in society (Tuchman 1978; Bagdikan 1997). ","Siebert, Peterson, and Schramm 1956; McQuail 1983;Tuchman 1978; Bagdikan 1997","sources (also talking about viewpoints but not measuring those)",NA,NA,NA,NA
"46","002839@2014.nl","div","Differences between these approaches become vivid when one considers their varying engagement with core values of public interest, such as diversity. The first approach, dominant in the United States, Italy and increasingly the United Kingdom, defends the viewpoint that media diversity is best achieved when actors can freely enter the ‘marketplace of ideas’, unfettered by governmental constraints. The second approach relies on a highly differentiated and much expanded interpretation of diversity, an integral part of a more comprehensive media policy (Nordenstreng, 1974), as illustrated in Scandinavia, Rhineland Europe and Canada.

For instance, arguments encouraging the diversity of ownership – such as in newspapers owned by a trust – pivoted around the desire to protect and promote editorial independence rather than to promote diversity of content.","Nordenstreng, 1974;","","","","",""
"47","002861@2014.nl","div","We employ set diversity described in Zhang and Hurley (2008) as the
diversity evaluation metric. The article set diversity is defined as
the average dissimilarity of all pairs of news articles in the recommendation
list.","Zhang and Hurley (2008)",NA,NA,NA,NA,"item diversity (cosine similarity)"
"48","002942@2014.nl","div","Information diversity is also an important concept in communication
studies. The freedom of media, a multiplicity of opinions and
the good of society are inextricably connected (Napoli, 1999). Free
Press theory, a theory of media diversity, states that we establish
and preserve conditions that provide many alternative voices,
regardless of intrinsic merit or truth, with the condition that they
emerge from those whom society is supposed to benefit its individual
members and constituent groups (van Cuilenburg & McQuail,
2003). What is good for the members of the society can only be discovered
by the free expression of alternative goals and solutions to
problems, often disseminated through media (Napoli, 1999).
While many scholars from different disciplines agree that information
diversity is an important value that we should include in
the design of institutions, policies and online services, this value
is often reduced to a single definition, such as ‘‘source diversity’’,
or ‘‘hearing the opinion of the other side’’.

Following Napoli (1999), we may distinguish three different
dimensions of information diversity. The first dimension is source
diversity, which is diversity in terms of outlets (cables and channel
owners) or program producers (content owners). Content diversity
consists of diversity in format (program-type), demographic (in
terms of racial, ethnic, and gender), and idea-viewpoint (of social,
political and cultural perspectives). The third dimension, exposure
diversity, deals with audience reach and whether users have actually
consumed a diverse set of items.

Karppinen (2009) argues that the aim of media diversity should
not be the multiplication of genre, sources or markets, but giving
voice to different members of the society.

McQuail and van Cuilenburg (1983) propose to assess media
diversity by introducing two normative frameworks. The norm of
reflection checks whether ‘‘media content proportionally reflects
differences in politics, religion, culture and social conditions in a
more or less proportional way. The norm of openness checks
whether media ‘‘provide perfectly equal access to their channels
for all people and all ideas in society. If the population preferences
were uniformly distributed over society, then satisfying the first
condition (reflection) would also satisfy the second condition
(equal access).","van Cuilenburg & McQuail,2003; Napoli, 1999; Karppinen (2009); McQuail and van Cuilenburg (1983) ","minority diversity",NA,NA,"source diversity","output diversity (diversity of what is shared)"
"49","002959@2014.nl","div","compute the political diversity of news articles coming from the
two sources based on the Shannon Index, which is defined as the (political) entropy of the
news articles associated with the user",NA,NA,"political diversity",NA,NA,NA
"50","003018@2014.nl","div","Thus far, the issue of media diversity has been understood as
a consistent tug of war between two contrasting ideological camps – market
approach versus cultural approach. The market model believes that free-market
competition among a plethora of news media more efficiently serves media
diversity, while the cultural model argues that governmental intervention is
unavoidable to achieve the goal of media diversity (Entman and Wildman
1992).

The U.S. Federal Communications Commission (FCC) in its Biennial
Regulatory Review (2003) identifies five categories of media diversity that are
related to media ownership policy: diversity of viewpoint, programme, outlet,
source and minority/female ownership. Viewpoint diversity relates to the availability
of a diverse range of media content that reflects a variety of perspectives
from social groups. The availability of an extensive range of views is essential to
a healthy democracy and vibrant public debates. Rules limiting concentration of
media ownership are generally deemed to be in the public interest because they
prevent a few individual owners from exercising excessive impact on public opinion
(McCann 2010)

Program diversity refers to the availability of a variety of programming
formats and contents. In an open media market with free entry, free competition
can promote program diversity

Outlet diversity is linked to the presence of multiple and independently
owned broadcasters.

Napoli’s (1999) typology suggests something different about media diversity
than the FCC. According to him, media diversity is composed of three
components: source diversity, content diversity and exposure diversity

Hoffmann-Riem (1987) articulated four dimensions of media diversity:
formats/issues, content, person/group and geographical diversity.

Drawing on the literature,
this study pays attention to two common dimensions of media diversity:
outlet diversity and content diversity. Channel diversity can be enfolded
in outlet diversity, and programme and viewpoint diversity can be included
in content diversity.","Entman and Wildman, 1992; Federal Communications Commission (FCC) in its Biennial Regulatory Review (2003); Napoli’s (1999); Hoffmann-Riem (1987)",NA,"content diversity (viewpoints)",NA,"channel diversity",NA
"51","003031@2014.nl","div","Firstly, all
social groups and ideas should have the chance and expectation of being mentioned in
journalistic coverage (diversity).",NA,"number of different actors","number of different viewpoints",NA,NA,NA
"52","003095@2014.nl","div","To measure the diversity of viewpoints, in place of using sources cited as a proxy, our
approach directly targets the interpretations articulated in the debate (Benson, 2009;
Voakes et al., 1996). Thereby, we can distinguish different interpretations even if they
originate from the same source.Our coding strategy reflects whether different frames
construct similar or competing interpretations (Druckman, 2010; Herman, 1985). This
enables us to assess diversity at the level of interpretative repertoires referred to by the
constructed frames – distinct perspectives upon reality sustained by specific background
assumptions about the nature of the world (Donati, 1992; Wetherell and Potter, 1988). To
avoid a highly case-specific account, we introduce a deductive, theoretically grounded
category system. Identifying distinct repertoires from recurrent patterns among these
coded categories, we obtain a measure that allows a highly intersubjective, comparative
assessment of viewpoint diversity (see also Matthes and Kohring, 2008).","Benson, 2009; Voakes et al., 1996; Druckman, 2010; Herman, 1985; Donati, 1992; Wetherell and Potter, 1988; Matthes and Kohring, 2008",NA,"viewpoint diversity (frames)",NA,NA,NA
"53","003110@2014.nl","div","Guided by a concept of media content diversity articulated by Philip Napoli, this article explores the new digital broadcasting space, includ- ing the use of multicast streams and their content, and it considers whether the regulation and implementation of digital television best exploit its potential to increase programming diversity.

Philip Napoli argues that diversity in broadcasting is a “central com- ponent” in the successful operation of a marketplace of ideas; without diversity, we cannot expect wide citizen engagement with a wide variety of ideas.16 Napoli outlines three strains of media diversity: diversity of media sources, diversity of exposure to media, and diversity of content. Content diversity provides a useful lens for studying the regulation and output of the digital television system.

Content diversity refers to the programming choices and the variety of ideas available to viewers. ","Philip Napoli, Deconstructing the Diversity Principle, 49 J. COMM. 7 (1999).",NA,"diversity of ideas","content diversity (programming)",NA,NA
"54","003179@2014.nl","div","We claim that, although content diversity, namely plain textual diversity measured based on a “bag of words” model, suf- fices for other diversification settings (e.g. keyword search), it is not enough when it comes to diversifying comments of news articles. Thus, apart from content, with our proposed criteria we also capture sentiment expressed through comments, important Named Entities and writing quality of the comments. That it, we define criteria to capture semantic meta- data of user comments, claiming that diversity of these semantic criteria induces diversity of topics/opinions/concepts described within comments.

 In this section, we extend the notion of diversity on new dimensions (apart from content) that include sentiment, named entities and writing quality.",NA,"named entities",NA,NA,NA,"content diversity (term vectors), sentiment"
"55","003354@2014.nl","div","Diversity refers to the variety in offer that is presented in the news as well as to the way this offer reflects political reality. The diversity in offer in the news can be measured both on the level of the media system as a whole (horizontal diversity) and on the individual media level (vertical diversity) (Hellman, 2001).

Van der Wurff and Van Cuilenburg (2001) distinguished between open diversity and reflective diversity. According to the norm of open diversity, attention should be equally distributed over all parties that compete in the elections as well as all political issues that are raised. Reflective diversity requires that the diversity in the news should reflect the diversity of political actors or political issues outside the media environment. 

n this study, we focus on both open and reflective diversity with respect to the political parties involved.","Hellman, 2001; Wurff and Van Cuilenburg (2001)","political parties",NA,"issues",NA,NA
"56","003412@2014.nl","div","Given the ethical challenges for journalism and its social implications, this issue should be analyzed from the dual perspectives of inter- and intra- media diversity (McQuail, 1998). Van Cuilenburg (2002) highlights the importance of both dimensions to the diversity debate. Whereas intra-media diversity means ensuring audiences are confronted with diverse issues, ideas and opinions, inter-media diversity is of greater importance for the individual reader because, according to Van Cuilenburg (2002), it allows the reader to satisfy individual preferences by choosing between products with different editorial content. Thematic diversity within and among media is complementary and is addressed by this study.","McQuail, 1998; Van Cuilenburg (2002)",NA,NA,"topic diversity",NA,NA
"57","003631@2012.nl","div","Without a working definition of “diversity,” but with many statutory requirements to promote and defend it, lawmakers and regula- tors have exhibited a repetitive pattern of assuming diversity is achiev- able

his article takes a slightly different ap- proach and analyzes statutory and legal documents that assume that “diversity” actually has a workable definition and can be achieved as a virtue alone.

One question that has not yet been explored herein is what type of diversity is optimal in mass communication. As discussed previously, there is great difficulty for policymakers or researchers who wish to ef- fectively operationalize the term or measure it effectively, notwithstand- ing the fact that some attempts have been made in other fields of law.147 Is diversity achieved when women, minorities or non-corporate entities own media outlets, or when any media owner delivers programming that features characters or commentators from various demographic groups? Is diversity achieved when as many cultural, social, religious or political viewpoints as possible appear in the mass media? Is diversity a matter of content quality or quantity? 

 There may very well be a difference between di- versity of scale – as measured by the sheer quantity of media outlets, and diversity of scope – which must be inferred from patterns of qual- ity in content.166 These high-level questions of “what is diversity?” in the modern media landscape must be answered before jumping straight into regulatory strategies for achieving it

There is an important difference between viewing diversity as an in- stitutional value, which can be virtuous, and viewing it as an achievable policy goal, which can be perilous.","","","","","",""
"58","003708@2012.nl","div","Content diversity as choice options. In our study, system diversity is defined as the open diversity of program supply by all channels aiming to reach the general public (McQuail, 1992; Roessler, 2008). 

First, as measures of system diversity are primarily based on relative distributions of categories, they fail to account for absolute increases or decreases. Second, because diversity measures are often composite measures based on relative distributions, they fail to show which specific constituent category (i. e., program type) is responsible for the change in diversity. Moreover, even changes in the relative distribution across program types over time may not be revealed in changes in the level of diversity2. Third, all diversity measures assume some level of aggregation unit. Choosing the aggregating unit (e. g., per hour, day, week, month, quarter or year) has implications for interpreting the level of diversity.","McQuail, 1992; Roessler, 2008",NA,NA,"Program type",NA,NA
"59","003770@2012.nl","div","The net result of these speculations is a fivefold categorisation of groups: labour groups, business groups, groups of institutions and authorities, other sectional groups, and public interest groups. Diversity will be discussed in terms of the distribution of media attention across these group types.",NA,"diversity of groups",NA,NA,NA,NA
"60","003835@2011.nl","div","Hardly any attention, in contrast, is devoted to the reception of diversity (McQuail, 1992; Napoli, 1997; Roessler, 2008). Do audience members actually view, read or hear the diversity supplied by media? 

Yet, diversity that is only sent but not received cannot have the positive effects attributed to a diverse media supply. More research on the conditions that foster or inhibit the reception of diversity is therefore necessary (Napoli, 1997).

Taking up this call, this article presents a first exploratory take on the important but hitherto neglected concept of diversity as received.

Diversity is ‘one of the foundation principles in communications policy’ (Napoli, 1999: 7). It is defined as the heterogeneity of media content on one or more dimensions (McQuail and Van Cuilenburg, 1983).

Frequently investigated dimensions include TV programme type and news topic. From a democratic perspective, the variety of political ideas expressed in media is of special interest. Such idea diversity (Napoli, 1999) is an impor- tant condition for well-informed decision-making and an expression of a healthy democ- racy (McQuail, 1992).

A second distinction is between internal and external diversity (McQuail and Van Cuilenburg, 1983).","McQuail, 1992; Napoli, 1997; Roessler, 2008; Napoli, 1999; McQuail and Van Cuilenburg, 1983",NA,NA,NA,NA,"diversity as received"
"61","003891@2011.nl","div","This study accounts also for communication diversity, seen here as encompassing two crucial components, demographically and ideologically heterogeneous political discussion networks as well as ideologically dissimilar news media exposure, analyzing whether they influence projection.

For the purpose of this study, the authors term this communication diversity and propose that it encompasses demographically and ideologically heterogeneous discussion networks as well as exposure to ideologically dissimilar news media. Communication diversity implies reduced exposure to consonant ideas.",NA,NA,NA,NA,NA,"communication diversity (network and media exposure)"
"62","004234@2010.nl","div","The guidelines stress that editorial fairness ‘‘requires that a producer be willing to consider all relevant infor- mation and points of view’’ and concludes that a commitment to diversity necessitates that journalistic content must fully reflect ‘‘the pluralism of our society, including, for example, appropriate representation of women and minorities’’ (PBS, 2005).

 Democracy Now! has a greater diversity of news sources than the PBS NewsHour, as reflected by the use of females, people of color, foreign-based sources, and representatives of international institutions (such as the United Nations) as on-air news sources.","PBS, 2005","diversity of news sources",NA,NA,NA,NA
"63","004238@2010.nl","div","On the other hand, the extent of content diversity circumscribes the spectrum of issues that are discussed in the mediated public sphere. 

Finally, an important factor concerning the question of diversity and pluralism is their dual nature (Benhamou and Peltier, 2006). On the one hand, there is the diversity offered, that is the spectrum of choices offered to the public. On the other hand, there is the diver- sity consumed, meaning the actual choices that the public makes. Even if the existence of diversity offered is a sine qua non condition for diversity consumed,","Benhamou and Peltier, 2006",NA,NA,"topic",NA,"lexical diversity"
"64","004282@2010.nl","div","The purpose of this article is to determine whether publication type (online citizen journalism and online newspaper) is related to the diversity of information provided to citizens. Specifically, this research created a measure of content diversity to make these comparisons. Measures used to define content diversity were (1) the diversity of topics, (2) the use of outbound hyperlinks and (3) the inclusion of multimedia and interactive elements.

Diversity is typically measured by analyzing the diversity of sources present within articles, diversity of staff present within newsrooms or diversity of media information sources or ownership located within a geographic region. This research contributes to diversity literature by examining the diversity of content. Voakes et al. (1996: 585) defined content diversity as ‘a dispersion of the representation of ideas, perspectives, attributions, opinions or frames within a news product, and within the context of one particular issue.’ Content diversity is distinct from source diversity because the inclusion of a diversity of sources does not always equate to a diversity of ideas in articles.

Authors from the Project for Excellence in Journalism (1999) argued that the more topics covered by the news organization, the better the news organization. They claimed a diversity of topics better reflects a community in its entirety. This research measured the diversity level of articles by utilizing Simpson’s D, which mea- sures the proportions across categories, and it is considered an optimal measure for diversity because of its interpretative capability (McDonald and Dimmick, 2003; Simpson, 1949)","Voakes et al. (1996); Project for Excellence in Journalism (1999); McDonald and Dimmick, 2003; Simpson, 1949",NA,NA,"diversity of topics",NA,"Use of hyperlinks, article attributes"
"65","004284@2010.nl","div","In his seminal work on media performance, McQuail (1992) qualifies diversity as a fundamental value in Western society and argues that “the origins of the value of diversity are deeply rooted in the Western version of what counts as a modern society

McQuail (1992) proposes a sequential model of the process of communi- cation which implies that diversity can be analyzed in terms of media structure, media content, and media audience. The present study focuses on media content. Content diversity refers to “the variety or breadth of media content available to media consumers, with higher consumer wel- fare provided by high diversity” (Roessler, 2007, p. 467)

The question as to the optimum level of diversity is a normative one. The most widely used 􏰈 but also disputed 􏰈 measures in diversity re- search are based on equal representation of all categories under study as the ideal level of diversity; this is called open diversity (Roessler, 2007).

An alternative to open diversity is reflective diversity, which consists of media expressing ‘different ideas or topics in the same proportion as media users prefer them’ (Van der Wurff and Van Cuilenburg, 2001, p. 214).

Yet, this study focuses on open diversity, since open diversity is especially important in countries with an open multiparty system such as the Netherlands.

Content diversity in terms of the breadth of news coverage can be mea- sured at different levels: at the level of the media system as a whole (horizontal diversity) and at the level of individual media outlets (vertical diversity) (Hellman, 2001)

We will examine both forms of diversity as breadth because a low or a high level of vertical diversity is not necessarily accompanied by the same level of horizontal diversity. ","McQuail (1992);Roessler, 2007; Van der Wurff and Van Cuilenburg, 2001; Hellman, 2001","Political parties",NA,"issues",NA,NA
"66","004290@2010.nl","div","This study represents such an attempt. It uses framing analysis to address the connection between media content diversity and audience cognitions on public issues. Media content diversity for social issues pertains to coverage of a full range of views (Hoffmann-Riem, 1987, 1992). As framing involves the construction of views in both news production and consumption processes, the concept appears to be a proper analytical tool to examine the relationship between media content diversity and audience issue cognitions.

Research on frame diversity is limited, but a few studies have examined agenda diversity. These studies generally viewed agenda diversity as a diversity of social issues and have used nominal diversity (Allen & Izcaray, 1988; Wanta, King, & McCombs, 1995; Peter & de Vreese, 2003) and thematic diversity (Peter & de Vreese, 2003) to measure agenda diversity. Nominal diversity refers to the number of issues a social unit viewed as important, and thematic diversity refers to the semantic variety of issues a social unit viewed as important.","Hoffmann-Riem, 1987; Allen & Izcaray, 1988; Wanta, King, & McCombs, 1995; Peter & de Vreese, 2003; Peter & de Vreese, 2003",NA,"frames",NA,NA,NA
"67","004492@2010.nl","div","diversity in the media (different political opinions and representations of culture within the media).

Although pluralism and diversity are used interchangeably in this chapter it is worth going through some definitions of the concepts to establish why the lack of these ideals in a highly concentrated media market might be an issue of public concern. A broad definition of media diversity has been provided by Hoffmann-Riem (1987) who referring to the broadcasting scene a couple of decades ago distinguished four dimensions of diversity. For him there must be diversity of formats and issues, meaning that all the various fields and topics - entertainment, information, education and culture - have to be taken into account. Secondly, this should be complemented by a diversity or plurality of contents. This means that programmes should provide comprehensive and factual coverage of the different opinions expressed in a society. Thirdly, person and group diversity must exist. Programmes have to cater for the interests of all parts of the community. The main point here is access, but also representation. Finally, Hoffmann-Riem pointed out that broadcasters should include local, regional, national and supranational content. To sum up, a programme has to ensure that issue, content, person and geographical diversity is provided.

A similar identification of the dimensions of diversity has been provided by McQuail (1992: 144-5) who argued that the media can contribute to diversity, firstly by reflecting differences in society, secondly by giving access to different points of view, and thirdly by offering a wide range of choice.

one also needs to distinguish between external and internal diversity. The former, according to McQuail (1992: 145-7) refers to media structure because it is related to the idea of access. It relates to the degree of variation between separate media sources in a given sector, according to dimensions such as politics, religion, social class, and so on","Hoffmann-Riem (1987); McQuail (1992)","","","","",""
"68","004774@2009.nl","div","In this new context not only the coexistence of private and public broadcasters – building a diversity of providers – has to be a goal for media regulation, but also upholding a diversity of programmes that is vital for maintain- ing cultural identity, especially for small states with a giant neighbour","","","","diversity of programmes","diversity of providers",""
"69","004798@2009.nl","div","A fundamental policy dilemma arises here: what to support – diversity among suppliers (for example, by liberalizing market entrance conditions for new actors) or diversity of content (for example, by state subsidy of the media)?

Discussion on media pluralism and diversity essentially focuses on two issues: structural diversity of the media and diversity of content.","","","","","structural diversity","content diversity"
"70","004803@2009.nl","div","The most recent are: the Diversity Index in the US (2003), the public interest or plurality test in the UK (2003), the integrated communications market (SIC) in Italy (2004), and a new approach to weighting the influence of various media by the German KEK in the context of its merger decision on ProSiebenSAT.1 Media AG and Axel Springer Media AG (2006).

The Diversity Index (US) and the integrated communications market (Italy)
A new approach to assessing viewpoint concentration in local media markets was adopted by the FCC during its third biennial ownership review. This Diversity Index (DI) was introduced to provide ‘its media ownership frame- work with an empirical footing’ (FCC, 2003: 46316). The Commission was responding to claims increasingly voiced both by the courts (e.g. Fox v. FCC, 2002: 1048) and scholars (e.g. Napoli, 1999) that media ownership regula- tions targeted at non-economic goals such as media diversity need to be jus- tified by empirical proof, and that traditional justifications no longer suffice.

There is, however, neither a consensus on what constitutes plurality (e.g.is it a plurality of owners, a plurality of channels and titles and variations within them, or a diversity in content/ideas), nor on how this goal can adequately be achieved, let alone empirically measured.

The German Commission on Concentration in the Media (KEK), the regulatory body responsible for ensuring a diversity of opinion in national broadcasting, entered new ground in the course of its review of the proposed merger between ProSiebenSAT.1 Media AG and Axel Springer Media AG by developing a new weighting approach that takes account of possible influences of various media on the diversity of opinion (KEK, 2006)","Napoli, 1999; FCC, 2003","","","","",""
"71","004846@2008.nl","div","For mass communication research, the emergence of new mass media raises a number of research questions. Among them, the question concerning their contribution to diversity is of predominant importance at the macro level of research. ‘Diversity has been the most potent concept in communication policy in modern times and in some degree remains so’ (McQuail, 2007: 41). Among the many normative concepts in mass communication research, diversity is probably the most prominent one. When Denis McQuail revisited this concept in 2007 he underlined the ambiguities of the concept as well as its continued importance. Diversity can be an end in itself but it can also be a necessary requirement to attain what society requires. 

When new media emerge, the level of diversity is expected to increase. At the levels of ownership, content, receiver/audience and channel, additional mass media might increase diversity.

All these public service features relate closely to the value of diversity. On the content level, quality and diversity are the key features together with requirements to respect minorities and foster national culture and identity (Syvertsen, 2003: 157), as well as the provision of news to enable citizens to participate in the democratic process in an informed way (Steemers, 2001: 126)","McQuail, 2007; Syvertsen, 2003; Steemers, 2001",NA,NA,NA,"ownership diversity","content diversity (kind of article, multimedia included)"
"72","004981@2008.nl","div","One way to understand the relationship between media diversity and democratic society is through Napoli’s (1997) media diversity model. Diversity has long been an important measure of the quality of any media system in democratic societies (Einstein, 2004; McQuail, 1992; Napoli, 1997). According to Napoli, the concept of media diversity has three major components: (1) source diversity, (2) content diversity, and (3) exposure diversity (see Table 1). Source diversity is defined in terms of media ownership as well as by the diversity of its workforce. Content diversity refers to the multiplicity of viewpoints, program types and the demographic profiles of those represented in media content. Exposure diversity measures how audiences make use of the available options. While each of these three prime components is an indispensable ‘link in the diversity chain’ (Napoli, 1997, p. 18), exposure diversity is considered the most important element in the pursuit of a marketplace of ideas.

In his media diversity model, Napoli (1999) further categorized diversity of exposure into two types: horizontal diversity and vertical diversity. ","Einstein, 2004; McQuail, 1992; Napoli, 1997",NA,NA,NA,"channel repertoires/diversity",NA
"73","005143@2007.nl","div","This discussion has largely centered on differing normative perspectives between traditional news, which creates meaning among a field of unrelated stories bound together into something called ‘the news’, and search engines, which promote diversity through easy access to different viewpoints on any topic. ","","","viewpoints","","",""
"74","005155@2007.nl","div","For example, the analysis and proposals presented here refer mostly to media systems based on the principle of internal diversity and therefore are not applicable in the same manner to systems based on external diversity (see McQuail, 1992, pp. 145􏰖 147). Internal diversity refers to the condition where a wide range of points of view is offered by the same channel, usually with a view to reaching a large and heterogeneous audience. 

The News Diversity standard takes frame diversity as a central criterion for evaluating the role of news media in shaping democratic politics. The standard needs to be complemented by further theorization and empirical studies. Meanwhile, I suggest that the model presents a typology (below) of the form of news segments as a concrete operationalization of the concept of frame diversity. 

I modify Schlesinger, Murdock and Elliot’s (1983) typology and propose classifying the form of news stories according to the following categories:
1. Restricted: when only one interpretive frame of the political event or issue is presented by the news story
2. Plural-closed: when more than one interpretive frame of the political event or issue is presented by the news story, but the frames are arranged in a hierarchy so that one is preferred over the other(s) and presented as more valid/true
3. Plural-open: when more than one interpretive frame of the political event or issue is presented by the news story, but treated within a more indeterminate relation where no interpretation is preferred
4. Episodic: when no interpretative frames are presented and the news story has a descriptive tone.","McQuail, 1992; Schlesinger, Murdock and Elliot’s (1983)","","diversity of frames","","",""
"75","005245@2007.nl","div","Press pluralism (or “diversity”) has been studied in many different ways. Researchers have analyzed the level of differentiation in society as a whole (Bourdieu, 1998; Shoemaker & Reese, 1996; see Durkheim, 1964), the diversity of media ownership (Bagdikian, 2000; Baker, 2002; Einstein, 2004), the range of television channels, radio stations, newspapers, maga- zines and online publications (Hellman, 2001; Ishikawa, 1996), the use of diverse sources by media workers, gender and race differences among reporters (Zoch & Turk, 1998), the dif- ferences in journalistic norms and practices, and the diversity of audiences (McQuail, 1992). In this article, as in many before it, the analysis is focused on the level of pluralism in press content.","Bourdieu, 1998; Shoemaker & Reese, 1996; see Durkheim, 1964; Bagdikian, 2000; Baker, 2002; Einstein, 2004; Hellman, 2001; Ishikawa, 1996;Zoch & Turk, 1998; McQuail, 1992",NA,"negative or positive connotation regarding a topic",NA,NA,NA
"76","005337@2006.nl","div","The FCC’s Diversity Index had as its basis the well-known Herfindahl–Hirschman Index (HHI), which measures market concentration via summing the squared market shares of each firm in a mar- ket. The Diversity Index extended and modified the HHI in a number of ways. The FCC described the methodology as follows:
In terms of calculating the Index, within each medium we combine commonly- owned outlets and calculate each owner’s share of the total availability of that me- dium. We then multiply that share by the share of the medium in question in the total media universe (television plus newspaper plus radio plus Internet). Once these shares in the overall “diversity market” have been calculated, we add together the shares of properties that are commonly-owned (e.g., a newspaper and a television sta- tion), square the resultant shares, and sum them to get the base Diversity Index for the market in question. (FCC, 2003, p. 13790)


Figure 1 provides a visual map of the discussion that is to follow. In this figure, the central concept of the diversity importance of different information sources is sur- rounded by the various potentially relevant conceptual elements, which are, in turn, accompanied by listings of the areas of communications research that are of potential use in clarifying and applying these conceptual elements.(page 677)

Another dimension of citizens’ media usage that appears to have an increased bear- ing on media ownership policy is basic audience exposure. In the commission’s ef- forts to assess the diversity importance of different information sources, and in the subsequent court repudiation of these efforts, the issue of potential or actual audience exposure to different information sources has played a central role.","FCC, 2003","","viewpoint diversity","","media ownership",""
"77","005678@2003.nl","div","In other words, the media might also shape what Allen and Izcaray () call nominal diversity . . . the number of issues a particular social unit considered salient’ (p. ).1 If the media influence this more quantitative aspect of public agenda diversity, they might also have an impact on a more qualitative aspect of public agenda diversity, which can be referred to as thematic public agenda diversity. Thematic agenda diversity concerns the semantic variety of issues on the agenda of a particular social unit.2 Even if different social units have the same nominal diversity (i.e. name the same number of issues), their thematic diversity may differ. For example, if, at the individual level, two respondents both mention two issues, but respondent A mentions inflation and prices, whereas respondent B mentions inflation and environment, then respondent B may be considered to show a broader thematic diversity.

Third, although researchers have employed media exposure measures (Allen & Izcaray,1988; Chaffee & Wilson, 1977; Reinemann & Brosius, 1998; Wanta et al., 1995), no study to date has linked the diversity of the public agenda to the diversity of the media content individuals are actually exposed to.

However, no study to date has linked the diversity of the public agenda to the diversity of the media agenda, i.e., the diversity of the specific media content to which the public is actually exposed. We investigate the relationship between diversity on the news agenda and diversity on the public agenda by including a diversity measure of different television news programs.","Allen and Izcaray (1988)",NA,NA,"agenda diversity",NA,NA
